country,country_code,year_week,source,new_cases,number_sequenced,percent_cases_sequenced,valid_denominator,variant,number_detections_variant,number_sequenced_known_variant,percent_variant
Netherlands,NL,2021-19,TESSy,38178,1650,4.3,Yes,B.1.617,0,1650,0
Netherlands,NL,2021-19,TESSy,38178,1650,4.3,Yes,B.1.617.2,11,1650,0.7
Netherlands,NL,2021-19,TESSy,38178,1650,4.3,Yes,B.1.621,3,1650,0.2
Netherlands,NL,2021-19,TESSy,38178,1650,4.3,Yes,P.1,32,1650,1.9
Netherlands,NL,2021-19,TESSy,38178,1650,4.3,Yes,Other,7,1650,0.4
Netherlands,NL,2021-20,TESSy,28081,1370,4.9,Yes,B.1.1.7,1316,1370,96.1
Netherlands,NL,2021-20,TESSy,28081,1370,4.9,Yes,B.1.351,3,1370,0.2
Netherlands,NL,2021-20,TESSy,28081,1370,4.9,Yes,B.1.617,0,1370,0
Netherlands,NL,2021-20,TESSy,28081,1370,4.9,Yes,B.1.617.2,10,1370,0.7
Netherlands,NL,2021-20,TESSy,28081,1370,4.9,Yes,B.1.621,5,1370,0.4
Netherlands,NL,2021-20,TESSy,28081,1370,4.9,Yes,P.1,32,1370,2.3
Netherlands,NL,2021-20,TESSy,28081,1370,4.9,Yes,Other,4,1370,0.3
Netherlands,NL,2021-21,TESSy,21130,1323,6.3,Yes,B.1.1.7,1270,1323,96
Netherlands,NL,2021-21,TESSy,21130,1323,6.3,Yes,B.1.351,3,1323,0.2
Netherlands,NL,2021-21,TESSy,21130,1323,6.3,Yes,B.1.617,0,1323,0
Netherlands,NL,2021-21,TESSy,21130,1323,6.3,Yes,B.1.617.2,23,1323,1.7
Netherlands,NL,2021-21,TESSy,21130,1323,6.3,Yes,C.37,1,1323,0.1
Netherlands,NL,2021-21,TESSy,21130,1323,6.3,Yes,P.1,16,1323,1.2
Netherlands,NL,2021-21,TESSy,21130,1323,6.3,Yes,Other,10,1323,0.8
Netherlands,NL,2021-22,TESSy,15901,1272,8,Yes,B.1.1.7,1181,1272,92.8
Netherlands,NL,2021-22,TESSy,15901,1272,8,Yes,B.1.617,0,1272,0
Netherlands,NL,2021-22,TESSy,15901,1272,8,Yes,B.1.617.2,48,1272,3.8
Netherlands,NL,2021-22,TESSy,15901,1272,8,Yes,B.1.621,4,1272,0.3
Netherlands,NL,2021-22,TESSy,15901,1272,8,Yes,P.1,23,1272,1.8
Netherlands,NL,2021-22,TESSy,15901,1272,8,Yes,Other,16,1272,1.3
Netherlands,NL,2021-23,TESSy,9899,1175,11.9,Yes,B.1.1.7,1037,1175,88.3
Netherlands,NL,2021-23,TESSy,9899,1175,11.9,Yes,B.1.351,1,1175,0.1
Netherlands,NL,2021-23,TESSy,9899,1175,11.9,Yes,B.1.617,0,1175,0
Netherlands,NL,2021-23,TESSy,9899,1175,11.9,Yes,B.1.617.2,101,1175,8.6
Netherlands,NL,2021-23,TESSy,9899,1175,11.9,Yes,B.1.621,5,1175,0.4
